method,id,file,dataset,fitness,dice,jaccard,acc
otsu,4,430,ar,0.9824503311258278,0.35194337906765255,0.21355053861471654,0.9258987991898148
otsu,5,101,yg,0.97669256381798,0.9033361847733106,0.8237129485179407,0.9808396635919696
otsu,5,102,yg,0.9821591115965774,0.9251479036268542,0.8607211231652839,0.9851973684210527
otsu,5,103,yg,0.9671450151057401,0.9010467059547893,0.8199135585080839,0.9809244438415626
otsu,5,104,yg,0.9355771216188313,0.8319104011750665,0.7121974221942785,0.9689534725990233
otsu,5,105,yg,0.9558551902475064,0.8917801137342753,0.8046960037319235,0.9787032013022247
otsu,5,106,yg,0.9451093685513826,0.889752306945119,0.8013998250218722,0.9807548833423766
otsu,5,107,yg,0.9665738161559888,0.8021796565389696,0.669699476151089,0.9796866521975041
otsu,5,108,yg,0.9633469978297564,0.8554603854389722,0.7474275023386342,0.9771093326098752
otsu,5,109,yg,0.9682299546142209,0.8643781654473832,0.7611496531219029,0.9795679598480738
otsu,5,110,yg,0.9487179487179487,0.8086379601925329,0.678750818956104,0.9750576505697233
otsu,5,111,yg,0.8771466314398944,0.6240601503759399,0.453551912568306,0.9593054801953337
otsu,5,112,yg,0.9366398338094002,0.7928343774041103,0.6567734887108522,0.9680378459034183
otsu,5,113,yg,0.9306151645207439,0.8168689828380076,0.690429860251194,0.9703269126424309
otsu,5,114,yg,0.9277727410093684,0.7450552117461473,0.5936956101334365,0.9643753391209984
otsu,5,115,yg,0.9033977348434377,0.7834753719485772,0.6440275469009736,0.9745828811720022
otsu,5,116,yg,0.9183585313174946,0.6377681115944203,0.4681788152389342,0.9590511394465545
otsu,5,117,yg,0.9342843779232928,0.8142260266992765,0.6866620831900997,0.9690891209983722
otsu,5,118,yg,0.9679444070836135,0.8606737093880805,0.7554233729881036,0.9762954422137818
otsu,5,119,yg,0.9585987261146497,0.8978768204948236,0.8146791912115905,0.9802631578947368
otsu,5,120,yg,0.9341100843712334,0.7174818700817776,0.559432146294514,0.9689534725990233
otsu,5,121,yg,0.9465423111919927,0.853363412633306,0.7442318011089251,0.9757528486163863
otsu,5,122,yg,0.9323684210526316,0.8565212135863652,0.7490486257928118,0.9798731687466088
otsu,5,123,yg,0.9762553522771507,0.7916666666666666,0.6551724137931034,0.9776180141074335
otsu,5,124,yg,0.9767953102100635,0.8753420159789865,0.7783184118333982,0.9806870591427022
otsu,5,125,yg,0.9024199843871975,0.7203614270135535,0.5629413196980765,0.9695638903960934
otsu,5,126,yg,0.9640095974406825,0.8341407151095732,0.7154728927582114,0.9756172002170375
otsu,5,127,yg,0.8719033232628399,0.7047619047619048,0.5441176470588235,0.9590002712967987
otsu,5,128,yg,0.9016469496636511,0.7749202551834131,0.632546786004882,0.9617132392837765
otsu,5,129,yg,0.9464597478176527,0.8758639260389552,0.7791440434366017,0.976549782962561
otsu,5,130,yg,0.9059343434343434,0.76871568233561,0.6243202088318468,0.9707169017905589
otsu,5,201,bs,0.7357679914070892,0.5125601282736505,0.34459216672655407,0.9493130585567561
otsu,5,202,bs,0.741588527302813,0.4889090909090909,0.32354710624473587,0.9449514334952217
otsu,5,203,bs,0.7540983606557377,0.5411764705882353,0.3709677419354839,0.9488164401978202
otsu,5,204,bs,0.7809311598451976,0.5895268027090435,0.41796384634697464,0.957003755737933
otsu,5,205,bs,0.8820537275472898,0.7008082849204345,0.5394186837756392,0.9674733120516253
otsu,5,206,bs,0.8020964360587002,0.6603382809803244,0.4929141973718114,0.9629015231488464
otsu,5,207,bs,0.760471686524997,0.6098005417384881,0.43864248264134903,0.9569701511991658
otsu,5,208,bs,0.7764690485538542,0.4599759661976199,0.29868103101087395,0.9456007309987192
otsu,5,209,bs,0.6267286204226131,0.3616688479586299,0.22075442288208247,0.9355419958547285
otsu,5,210,bs,0.841763405196241,0.4473906496749789,0.2881540353865077,0.9406092612766226
otsu,5,211,bs,0.8,0.5680764499952692,0.39672261133870756,0.9533517269568772
otsu,5,212,bs,0.7049248747913188,0.4585105420323953,0.2974464338127385,0.9434337705305447
otsu,5,213,bs,0.8110151187904968,0.690609992847655,0.5274287943815841,0.9631518101612413
otsu,5,214,bs,0.8013937282229965,0.6127450980392157,0.4416961130742049,0.95649883885178
otsu,5,215,bs,0.8548820543445804,0.5874025441116126,0.4158315177923021,0.9574175242451192
otsu,5,216,bs,0.8650922909880565,0.6380699734721458,0.4685042263873576,0.9647536508803057
otsu,5,217,bs,0.7164454277286135,0.5363205594148227,0.3664194116167966,0.9524171466339345
otsu,5,218,bs,0.8540240736370073,0.6876662865830483,0.5240026066179132,0.965061649659864
otsu,5,219,bs,0.7186918784872908,0.5272913350011371,0.3580418500501892,0.9494217631205932
otsu,5,220,bs,0.7966167859466493,0.5730868242452609,0.40162697631699795,0.9546435533277638
otsu,5,221,bs,0.6598053892215568,0.437559462254395,0.2800487133326273,0.939661408063192
otsu,5,222,bs,0.7947149179901067,0.5204381739908784,0.3517515556579857,0.9525370389119503
otsu,5,223,bs,0.8795620437956204,0.6550890969495621,0.4870873568380867,0.9636699115607305
otsu,5,224,bs,0.8977125032492852,0.6461783141547385,0.4772994264390851,0.9637197344691301
otsu,5,225,bs,0.8635859006383569,0.5687779910428663,0.39740724184175236,0.9558756137479542
otsu,5,226,bs,0.6485593444356331,0.3862714999803204,0.23936585365853658,0.9376030412164866
otsu,5,227,bs,0.7373434948285248,0.4298976434182338,0.27380230442692544,0.943886476523695
otsu,5,228,bs,0.826553015627018,0.5056091009638174,0.33833791499259885,0.950224696758799
otsu,5,229,bs,0.742721245315653,0.3833792128561863,0.2371485112062221,0.9394373401534527
otsu,5,230,bs,0.6963151207115629,0.33993120171431795,0.2047693457435967,0.9311579925541238
otsu,5,231,bs,0.8141927674383417,0.6140941512125535,0.44309947299077734,0.9634448240076104
otsu,5,232,bs,0.8821956368754398,0.6664185848705545,0.49972095989795107,0.9692160518053375
otsu,5,233,bs,0.7234665309238992,0.5828975699784682,0.41133058389407423,0.9532491711151589
otsu,5,234,bs,0.7043714497406767,0.5716576468230106,0.4002245298905417,0.9488220326298459
otsu,5,235,bs,0.8613633456963806,0.7183616873766733,0.5605026631158455,0.9701334690645854
otsu,5,236,bs,0.8320113006628274,0.5983199843719477,0.42685918162559927,0.95518406311981
otsu,5,237,bs,0.8519602106495027,0.589211282424831,0.41764672135849923,0.9582668683911921
otsu,5,238,bs,0.8101320946436348,0.4129332988050757,0.26018648018648016,0.9392041253385743
otsu,5,239,bs,0.7446095571095571,0.5443024494142705,0.3739117711610213,0.9512764455375646
otsu,5,240,bs,0.780975073313783,0.5061772392492279,0.3388469184890656,0.9505201514033376
otsu,5,241,bs,0.7414340101522843,0.4926741857278381,0.32685314685314687,0.9420553321615179
otsu,5,242,bs,0.6717597471022129,0.4324049345033702,0.27583968846341067,0.9400746549223911
otsu,5,243,bs,0.7619322278298486,0.4645274725274725,0.30253063094011223,0.9507837750484809
otsu,5,244,bs,0.6063889407808706,0.3056353279035827,0.18038343984440122,0.9320497936016512
otsu,5,245,bs,0.5659854976928148,0.24785658612626657,0.14145907473309607,0.9213386468616973
otsu,5,246,bs,0.48699763593380613,0.20412088712732784,0.11366070559215864,0.9155996476751194
otsu,5,247,bs,0.4364658133000312,0.20691696679658592,0.11539731454985692,0.9197403732135055
otsu,5,248,bs,0.6113752421200915,0.3124128312412831,0.18512396694214875,0.9346086703520512
otsu,5,249,bs,0.6009117792015771,0.29642911411639566,0.17400456686170973,0.929893254599137
otsu,5,250,bs,0.8195514466700907,0.6363152997474412,0.4666146797933522,0.9561327561327562
otsu,5,251,bs,0.706908026088114,0.44138790774984415,0.28319291884397996,0.9406689146246734
otsu,5,252,bs,0.8372476308199424,0.6181615372914872,0.4473471783958318,0.9642402659069326
otsu,5,301,ygs,0.9329490291262136,0.8431587606251714,0.7288456980327092,0.975095785440613
otsu,5,302,ygs,0.8377703826955075,0.7482352941176471,0.5977443609022557,0.9572180134680135
otsu,5,303,ygs,0.815483476132191,0.726355955301172,0.570297453456024,0.9547258297258298
otsu,5,304,ygs,0.864146809093399,0.7878636533899364,0.649979398434281,0.9638818027210885
otsu,5,305,ygs,0.8436052725329534,0.7120733724251992,0.5528834928788232,0.9552235316124205
otsu,5,306,ygs,0.888801261829653,0.7535941156803745,0.6046137339055794,0.9622747747747747
otsu,5,307,ygs,0.7613406529904652,0.6861085796120296,0.522195798652398,0.9599448431685274
